RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
5810,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,female,DK/REF,DK/REF,DK/REF,,,33.446574442,-112.08805254,POINT (-112.08805254 33.446574442)
5883,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.445513118,-112.0848238,POINT (-112.0848238 33.445513118)
4741,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,Yes,White,No,true,33.538236371,-112.135561556,POINT (-112.135561556 33.538236371)
5673,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.44581306,-112.08709383,POINT (-112.08709383 33.44581306)
6921,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.49401338,-112.24042235,POINT (-112.24042235 33.49401338)
6539,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,male,DK/REF,No,DK/REF,,,33.424948957,-111.939629708,POINT (-111.939629708 33.424948957)
6025,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,male,White,No,White,,,33.46402341,-112.0720387,POINT (-112.0720387 33.46402341)
6897,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,male,White,No,White,,,33.414671654,-111.887277346,POINT (-111.887277346 33.414671654)
6250,Observation Tool,App,01/27/2020,2020,Mesa,25-54,25+,male,White,No,White,,,33.40778387,-111.83351025,POINT (-111.83351025 33.40778387)
7021,Interview,Paper,01/27/2020,2020,Phoenix,0-17,0-17,male,White,Yes,White,,,33.494468,-112.242469,POINT (-112.242469 33.494468)
6892,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,male,DK/REF,DK/REF,DK/REF,,,33.45243852,-112.06192156,POINT (-112.06192156 33.45243852)
5575,Interview,App,01/27/2020,2020,Chandler,25-54,25+,male,White,No,White,No,true,33.298055516,-111.843330949,POINT (-111.843330949 33.298055516)
6484,Observation Tool,App,01/27/2020,2020,Mesa,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.43342959,-111.8660851,POINT (-111.8660851 33.43342959)
6280,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,female,White,No,White,,,33.426247649,-112.078180974,POINT (-112.078180974 33.426247649)
6186,Observation Tool,App,01/27/2020,2020,Mesa,18-24,18-24,male,White,No,White,,,33.429802833,-111.736301165,POINT (-111.736301165 33.429802833)
5841,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.446647789,-112.088007699,POINT (-112.088007699 33.446647789)
6653,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,Yes,White,,,33.46392856,-112.07221507,POINT (-112.07221507 33.46392856)
5761,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,No,DK/REF,,,33.446725861,-112.088207129,POINT (-112.088207129 33.446725861)
5891,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,male,White,No,White,,,33.450882694,-112.091527438,POINT (-112.091527438 33.450882694)
6770,Observation Tool,App,01/27/2020,2020,Mesa,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.383245129,-111.601316098,POINT (-111.601316098 33.383245129)
6769,Observation Tool,App,01/27/2020,2020,Mesa,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.38362501,-111.601239373,POINT (-111.601239373 33.38362501)
5580,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,,33.574366381,-112.065278398,POINT (-112.065278398 33.574366381)
6832,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,female,American Indian or Alaska Native,DK/REF,American Indian or Alaska Native,,,33.391345335,-111.928048696,POINT (-111.928048696 33.391345335)
