Place Name,Geo Id,Geography Type,Year,Year (Date),Variable Code,Variable Label,Field Name,Variable Concept,Annotation,Value,Percent Change,Difference,Centroid,Internal Point,Geometry
,1400000US04013422628,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,30092,-0.09,-3128,POINT (-111.61969869991785 33.41147406465089),POINT (-111.61970771273361 33.4102805),"MULTIPOLYGON (((-111.632706 33.411481, -111.632688 33.415121, -111.631678 33.415121, -111.624013 33.415112, -111.615345 33.415097, -111.613996 33.415097, -111.607854 33.415097, -111.607739 33.415097, -111.606611 33.415097, -111.606729 33.40908, -111.606858 33.407823, -111.612684 33.407828, -111.615372 33.407829, -111.624042 33.407837, -111.632718 33.407851, -111.632706 33.411481)))"
,1400000US04013422217,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,65333,0.04,2221,POINT (-111.8504604967142 33.360613660902374),POINT (-111.8504569620771 33.359181500000005),"MULTIPOLYGON (((-111.859085 33.364232, -111.85589 33.364244, -111.851522 33.364234, -111.84185 33.364213, -111.841831 33.361497, -111.841829 33.361313, -111.841809 33.357016, -111.851527 33.356972, -111.856547 33.357022, -111.859099 33.35705, -111.859085 33.364232)))"
,1400000US04013421202,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,50165,0.07,3363,POINT (-111.863557975537 33.42669348053467),POINT (-111.86202477402469 33.42868),"MULTIPOLYGON (((-111.875093 33.424084, -111.874343 33.424391, -111.868592 33.427979, -111.866871 33.429403, -111.863007 33.432099, -111.858141 33.433948, -111.856198 33.435381, -111.856234 33.433028, -111.85629 33.429381, -111.856442 33.422159, -111.865305 33.422151, -111.865395 33.422151, -111.869883 33.422147, -111.874374 33.422134, -111.877226 33.422134, -111.875093 33.424084)))"
,1400000US04013422107,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,44250,0.06,2492,POINT (-111.86122674370571 33.39712153077838),POINT (-111.86145980094297 33.3976225),"MULTIPOLYGON (((-111.865801 33.398522, -111.865793 33.400782, -111.859357 33.400772, -111.858774 33.400559, -111.856998 33.400346, -111.857134 33.396723, -111.857248 33.393107, -111.860454 33.393101, -111.863737 33.393098, -111.863845 33.394368, -111.865838 33.39671, -111.865801 33.398522)))"
,1400000US04013422223,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,54107,,,POINT (-111.86732850703255 33.382170838546955),POINT (-111.86722571136053 33.382225000000005),"MULTIPOLYGON (((-111.877058 33.380617, -111.874867 33.383833, -111.874662 33.385736, -111.863805 33.385734, -111.857361 33.385756, -111.857539 33.383918, -111.859601 33.380243, -111.859751 33.378738, -111.864017 33.37869, -111.868831 33.378642, -111.873235 33.3786, -111.877725 33.378559, -111.877058 33.380617)))"
,1400000US04013420708,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,36026,0.09,2910,POINT (-111.74502318014504 33.419133810894124),POINT (-111.74503931968223 33.417441),"MULTIPOLYGON (((-111.753666 33.419354, -111.753638 33.422773, -111.751707 33.422772, -111.745353 33.422776, -111.744495 33.422781, -111.742898 33.422784, -111.736405 33.422784, -111.736395 33.415498, -111.743216 33.415477, -111.745046 33.415473, -111.745591 33.415473, -111.747412 33.415484, -111.751497 33.415528, -111.753696 33.415521, -111.753666 33.419354)))"
,1400000US04013422607,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,42868,0.19,6959,POINT (-111.72785075711207 33.40107580764319),POINT (-111.7278493916152 33.400400000000005),"MULTIPOLYGON (((-111.736461 33.401378, -111.736457 33.402223, -111.736433 33.408302, -111.727736 33.408338, -111.724632 33.408352, -111.719155 33.408375, -111.719219 33.401522, -111.719239 33.399422, -111.719262 33.39745, -111.719336 33.393853, -111.727525 33.393793, -111.727627 33.393799, -111.736524 33.393769, -111.736461 33.401378)))"
,1400000US04013420208,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,82522,0.15,10636,POINT (-111.72770712022486 33.430063554121055),POINT (-111.72771456210754 33.430056500000006),"MULTIPOLYGON (((-111.736382 33.430013, -111.736368 33.437243, -111.733421 33.437271, -111.718998 33.437345, -111.719047 33.4301, -111.719082 33.422796, -111.725589 33.422854, -111.736405 33.422784, -111.736382 33.430013)))"
,1400000US04013422615,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,74529,0.03,2153,POINT (-111.60711528904497 33.3933908004763),POINT (-111.6067109952804 33.397276000000005),"MULTIPOLYGON (((-111.618819 33.380547, -111.615486 33.384175, -111.615392 33.386713, -111.615401 33.393338, -111.61538 33.401214, -111.61536 33.404198, -111.615372 33.407829, -111.612684 33.407828, -111.606858 33.407823, -111.606715 33.407823, -111.606308 33.407823, -111.602353 33.407822, -111.598046 33.407832, -111.598022 33.404113, -111.598037 33.393307, -111.598036 33.386699, -111.598078 33.384338, -111.598223 33.383809, -111.601214 33.380935, -111.601675 33.378923, -111.611038 33.378991, -111.615689 33.379004, -111.618934 33.379004, -111.618819 33.380547)))"
,1400000US04013420216,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,71336,-0.03,-2318,POINT (-111.7102510411053 33.44461331071315),POINT (-111.71024552165885 33.444610499999996),"MULTIPOLYGON (((-111.718884 33.444598, -111.718795 33.451853, -111.716299 33.451855, -111.711989 33.45186, -111.710157 33.451863, -111.706089 33.451879, -111.701514 33.451872, -111.701554 33.448217, -111.701607 33.444623, -111.701664 33.441, -111.701742 33.437365, -111.707095 33.437365, -111.718998 33.437345, -111.718884 33.444598)))"
